   1576 la_plat+  20   0  342136   9832   9252 S   0.0   0.5   0:00.06 gsd-pri+
   1602 la_plat+  20   0 2727536  20784  15968 S   0.0   1.1   0:00.18 gjs
   1607 la_plat+  20   0  234508   5976   5976 S   0.0   0.3   0:00.01 ibus-dc+
   1608 la_plat+  20   0  345352  19556  11628 S   0.0   1.0   0:01.87 ibus-ex+
   1610 la_plat+  20   0  234444   8392   6112 S   0.0   0.4   0:00.05 ibus-po+
   1655 la_plat+  20   0  621944   9624   8752 S   0.0   0.5   0:00.35 xdg-des+
   1659 la_plat+  20   0  534376   6756   6456 S   0.0   0.3   0:00.07 xdg-doc+
   1670 root      20   0    2480    880    880 S   0.0   0.0   0:00.00 fusermo+
   1676 la_plat+  20   0  377952  15416  10580 S   0.0   0.8   0:00.37 xdg-des+
   1681 la_plat+  20   0  160804   7072   6596 S   0.0   0.4   0:01.17 ibus-en+
   1709 la_plat+  39  19  705340  18360  11780 S   0.0   0.9   0:01.12 tracker+
   1715 la_plat+  20   0  156444   5556   4992 S   0.0   0.3   0:00.02 dconf-s+
   1729 la_plat+  20   0  340600  15816  10880 S   0.0   0.8   0:00.14 xdg-des+
   1932 la_plat+  20   0  160156   6068   5772 S   0.0   0.3   0:00.01 gvfsd-m+
   2016 la_plat+  20   0  748360  16448  11328 S   0.0   0.8   0:00.36 gnome-c+
   2024 la_plat+  20   0  641780  19952  11624 S   0.0   1.0   0:00.35 seahorse
   2054 la_plat+  20   0  311980   8932   6444 S   0.0   0.5   0:00.03 gvfsd-t+
   2170 la_plat+  20   0 1075328  57868  17692 S   0.0   2.9   0:12.05 gnome-c+
   2282 la_plat+  20   0  563240  36872  25112 S   0.0   1.9   0:10.79 gnome-t+
   2390 la_plat+  20   0    9584   5024   3820 S   0.0   0.3   0:00.19 bash
   2423 la_plat+  20   0  239072  19304  15168 S   0.0   1.0   0:25.56 Xwayland
   2426 la_plat+  20   0  549248  20212  13012 S   0.0   1.0   0:00.24 gsd-xse+
   2450 la_plat+  20   0  190884  15076  11556 S   0.0   0.8   0:00.11 ibus-x11
   3159 la_plat+  20   0  459724   7020   6788 S   0.0   0.4   0:00.01 gvfsd-n+
   3173 la_plat+  20   0  313940   9424   6852 S   0.0   0.5   0:00.02 gvfsd-d+
   3399 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4727 root      20   0       0      0      0 I   0.0   0.0   0:00.47 kworker+
   4895 root      20   0       0      0      0 I   0.0   0.0   0:01.66 kworker+
   4909 root      20   0       0      0      0 I   0.0   0.0   0:00.17 kworker+
   4925 root      20   0       0      0      0 I   0.0   0.0   0:00.53 kworker+
   4937 la_plat+  20   0   10.8g 284464 142412 S   0.0  14.4   0:15.67 firefox+
